NOME_FUNDO,DOC_FUNDO,DATA_FUNDO,NOME_ORIGINADOR,DOC_ORIGINADOR,COD_ORIGINADOR,NOME_CEDENTE,DOC_CEDENTE,NOME_SACADO,DOC_SACADO,SEU_NUMERO,NU_DOCUMENTO,TIPO_RECEBIVEL,VALOR_NOMINAL,VALOR_PRESENTE,VALOR_AQUISICAO,VALOR_PDD,FAIXA_PDD,DATA_REFERENCIA,DATA_VENCIMENTO_ORIGINAL,DATA_VENCIMENTO_AJUSTADA,DATA_EMISSAO,DATA_AQUISICAO,PRAZO,PRAZO_ATUAL,SITUACAO_RECEBIVEL,TAXA_CESSAO,TX_RECEBIVEL,COOBRIGACAO,CHAVE_NF,NOSSO_NUMERO,Unnamed: 31,Dias_Emissao,Dias_Hoje,sumDias_Hoje,Yield_ini,Yield_hje,sumYield_ini,Yield_hje_PDD,sumYield_PDD,Emissao_Month,Emissao_Year
FÊNIX FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS,26.631.527/0001-08,2020-02-13,ID GESTORA DE RECURSOS LTDA,21.046.086/0001-63,26631527,ARC COM+RCIO DE AUTO PE¦AS LTDA,51.986.958/0001-34,AGROPEU AGRO INDUSTRIAL DE POMPEU S.A.,16.617.789/0001-64,0000000000210000000056904,129726001,Duplicata,667.49,666.79,655.21,0.0,AA,2020-02-05,2020-02-06,2020-02-06,2020-01-10,2020-01-13,18,1,A vencer,0.30037295,0.29687898,Sim,35200151986958000134550010001297261007937146,001300000176,,20,-4,-2667.16,0.26359967884141633,-0.06396562044675957,-42.651636057694816,-0.06396562044675957,-42.651636057694816,1,2020
FÊNIX FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS,26.631.527/0001-08,2020-02-13,ID GESTORA DE RECURSOS LTDA,21.046.086/0001-63,26631527,ARC COM+RCIO DE AUTO PE¦AS LTDA,51.986.958/0001-34,ALVES FOGACAO & CIA LTDA,58.637.448/0001-09,0000000000210000000056860,129713001,Duplicata,396.8,395.52,388.17,0.0,AA,2020-02-05,2020-02-08,2020-02-08,2020-01-10,2020-01-10,21,3,A vencer,0.31042606,0.30195613,Sim,35200151986958000134550010001297131004642198,,,22,-2,-791.04,0.2864337509465247,-0.3344280902479494,-132.27299825486895,-0.3344280902479494,-132.27299825486895,1,2020
FÊNIX FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS,26.631.527/0001-08,2020-02-13,FENIX CONSULTORIA DE CREDITO EIRELI,26.154.553/0001-92,26631527,ARC COM+RCIO DE AUTO PE¦AS LTDA,51.986.958/0001-34,ARC COM DE AUTOS PECAS LTDA,51.986.958/0001-34,CONF_ARC02,CONF_ARC02,Duplicata de Servico Fisico,748365.22,731576.53,748365.22,73157.65,D,2020-02-05,2020-07-02,2020-07-02,2019-08-29,2019-08-30,210,100,A vencer,0.05884322,0.0,Nao,,,,212,95,69499770.35000001,0.0,0.0620344004847555,45382.911447267754,0.40448253630969,295909.930359042,8,2019
FÊNIX FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS,26.631.527/0001-08,2020-02-13,ID GESTORA DE RECURSOS LTDA,21.046.086/0001-63,26631527,ARC COM+RCIO DE AUTO PE¦AS LTDA,51.986.958/0001-34,BALDESSAR IMPLEMENTOS RODOVIAR,69.665.560/0001-61,0000000000210000000055909,129356003,Duplicata,226.45,225.71,217.17,22.57,D,2020-02-05,2020-02-09,2020-02-09,2019-12-12,2019-12-13,39,3,A vencer,0.31593678,0.31045547,Sim,35191251986958000134550010001293561007905149,934700000406,,41,-2,-451.42,0.2932853300968379,-0.3379543385198577,-76.27967374731708,-0.999998863122922,-225.70974339547473,12,2019
FÊNIX FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS,26.631.527/0001-08,2020-02-13,ID GESTORA DE RECURSOS LTDA,21.046.086/0001-63,26631527,ARC COM+RCIO DE AUTO PE¦AS LTDA,51.986.958/0001-34,BIOSEV BIOENERGIA S.A,49.213.747/0001-17,0000000000210000000054822,128879001,Duplicata,1374.8,1370.58,1305.16,41.12,C,2020-02-05,2020-02-10,2020-02-10,2019-11-26,2019-11-27,51,3,A vencer,0.29435952,0.29285808,Sim,35191151986958000134550010001288791005197663,,,53,-2,-2741.16,0.28038739064187457,-0.3211509701606048,-440.1630966827217,-0.9853814363747041,-1350.544089066442,11,2019
FÊNIX FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS,26.631.527/0001-08,2020-02-13,ID GESTORA DE RECURSOS LTDA,21.046.086/0001-63,26631527,ARC COM+RCIO DE AUTO PE¦AS LTDA,51.986.958/0001-34,BIOSEV BIOENERGIA S.A,49.213.747/0001-17,0000000000210000000055917,129378001,Duplicata,243.78,242.98,233.63,7.29,C,2020-02-05,2020-02-10,2020-02-10,2019-12-13,2019-12-13,39,3,A vencer,0.31593678,0.31625838,Sim,35191251986958000134550010001293781003491282,934700000422,,40,-2,-485.96,0.3072469026622431,-0.3391097696372045,-82.39689182644796,-0.9857692252271747,-239.5222063456989,12,2019
FÊNIX FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS,26.631.527/0001-08,2020-02-13,ID GESTORA DE RECURSOS LTDA,21.046.086/0001-63,26631527,ARC COM+RCIO DE AUTO PE¦AS LTDA,51.986.958/0001-34,BIOSEV S.A,15.527.906/0035-85,0000000000210000000055916,129377001,Duplicata,210.05,209.36,201.3,6.28,C,2020-02-05,2020-02-10,2020-02-10,2019-12-13,2019-12-13,39,3,A vencer,0.31593678,0.31644341,Sim,35191251986958000134550010001293771001795643,934700000252,,40,-2,-418.72,0.30742606604042577,-0.33938414379495696,-71.0534643449122,-0.9857635051227936,-206.3794474325081,12,2019
FÊNIX FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS,26.631.527/0001-08,2020-02-13,ID GESTORA DE RECURSOS LTDA,21.046.086/0001-63,26631527,ARC COM+RCIO DE AUTO PE¦AS LTDA,51.986.958/0001-34,BIOSEV S.A.,15.527.906/0036-66,0000000000210000000055671,129241001,Duplicata,936.7,933.63,894.21,28.01,C,2020-02-05,2020-02-10,2020-02-10,2019-12-09,2019-12-09,43,3,A vencer,0.31734934,0.31266173,Sim,35191251986958000134550010001292411009638760,,,44,-2,-1867.26,0.3045704397056508,-0.3387601240822067,-316.2766146468706,-0.9857593082147252,-920.334462928514,12,2019
FÊNIX FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS,26.631.527/0001-08,2020-02-13,ID GESTORA DE RECURSOS LTDA,21.046.086/0001-63,26631527,ARC COM+RCIO DE AUTO PE¦AS LTDA,51.986.958/0001-34,BREZINSKI TRANSPORTES LTDA EPP,04.531.837/0001-18,0000000000210000000056910,129698001,Duplicata,400.0,399.17,392.37,0.0,AA,2020-02-05,2020-02-07,2020-02-07,2020-01-09,2020-01-13,19,2,A vencer,0.30037295,0.29102801,Sim,35200151986958000134550010001296981005891282,001300000168,,22,-3,-1197.51,0.24683238143378583,-0.16010726085892713,-63.91001531705794,-0.16010726085892713,-63.91001531705794,1,2020
FÊNIX FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS,26.631.527/0001-08,2020-02-13,ID GESTORA DE RECURSOS LTDA,21.046.086/0001-63,26631527,ARC COM+RCIO DE AUTO PE¦AS LTDA,51.986.958/0001-34,CENTRAL ACUCAREIRA SANTO ANTONIO S.A.,12.718.011/0010-81,0000000000210000000056873,129695001,Duplicata,1320.0,1317.17,1292.18,0.0,AA,2020-02-05,2020-02-07,2020-02-07,2020-01-09,2020-01-10,20,2,A vencer,0.31042606,0.30786087,Sim,35200151986958000134550010001296951003902056,,,22,-3,-3951.51,0.2763360666630672,-0.16496716993447413,-217.2898072225913,-0.16496716993447413,-217.2898072225913,1,2020
