NOME_FUNDO,DOC_FUNDO,DATA_FUNDO,NOME_ORIGINADOR,DOC_ORIGINADOR,COD_ORIGINADOR,NOME_CEDENTE,DOC_CEDENTE,NOME_SACADO,DOC_SACADO,SEU_NUMERO,NU_DOCUMENTO,TIPO_RECEBIVEL,VALOR_NOMINAL,VALOR_PRESENTE,VALOR_AQUISICAO,VALOR_PDD,FAIXA_PDD,DATA_REFERENCIA,DATA_VENCIMENTO_ORIGINAL,DATA_VENCIMENTO_AJUSTADA,DATA_EMISSAO,DATA_AQUISICAO,PRAZO,PRAZO_ATUAL,SITUACAO_RECEBIVEL,TAXA_CESSAO,TX_RECEBIVEL,COOBRIGACAO,CHAVE_NF,NOSSO_NUMERO,Unnamed: 31,Dias_Emissao,Dias_Hoje,sumDias_Hoje,Yield_ini,Yield_hje,sumYield_ini,Yield_hje_PDD,sumYield_PDD,Emissao_Month,Emissao_Year
FÊNIX FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS,26.631.527/0001-08,2020-02-13,ID GESTORA DE RECURSOS LTDA,21.046.086/0001-63,26631527,ARC COM+RCIO DE AUTO PE¦AS LTDA,51.986.958/0001-34,A J N M MARTINS ME,24.286.013/0001-37,0000000000210000000050200,26807001,Duplicata,717.67,717.67,702.97,215.3,E,2020-02-05,2019-10-22,2019-10-22,2019-09-23,2019-09-24,20,-106,Vencido,0.28718206,0.29792265,Sim,35190951986958000487550030000268071002055546,926700003070,,22,-78,-55978.259999999995,0.2675160403666428,0.0,0.0,-0.684099504677206,-490.95769152169044,9,2019
FÊNIX FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS,26.631.527/0001-08,2020-02-13,ID GESTORA DE RECURSOS LTDA,21.046.086/0001-63,26631527,ARC COM+RCIO DE AUTO PE¦AS LTDA,51.986.958/0001-34,A J N M MARTINS ME,24.286.013/0001-37,0000000000210000000050201,26807002,Duplicata,717.67,717.67,688.74,215.3,E,2020-02-05,2019-11-21,2019-11-21,2019-09-23,2019-09-24,41,-76,Vencido,0.28718206,0.2877512,Sim,35190951986958000487550030000268071002055546,926700003089,,43,-57,-40907.189999999995,0.2726925424409421,0.0,0.0,-0.7933791688812801,-569.3844281310282,9,2019
FÊNIX FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS,26.631.527/0001-08,2020-02-13,ID GESTORA DE RECURSOS LTDA,21.046.086/0001-63,26631527,ARC COM+RCIO DE AUTO PE¦AS LTDA,51.986.958/0001-34,A J N M MARTINS ME,24.286.013/0001-37,0000000000210000000050202,26807003,Duplicata,717.66,717.66,674.5,215.3,E,2020-02-05,2019-12-21,2019-12-21,2019-09-23,2019-09-24,63,-46,Vencido,0.28718206,0.28158421,Sim,35190951986958000487550030000268071002055546,926700003097,,65,-35,-25118.1,0.2718381566730317,0.0,0.0,-0.9233179986411975,-662.6283949048417,9,2019
FÊNIX FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS,26.631.527/0001-08,2020-02-13,ID GESTORA DE RECURSOS LTDA,21.046.086/0001-63,26631527,ARC COM+RCIO DE AUTO PE¦AS LTDA,51.986.958/0001-34,AB COMERCIO E IMPLEMENTOS RODOVIARIOS LT,30.270.357/0001-50,0000000000210000000054964,128973003,Duplicata,449.33,443.17,421.79,0.0,AA,2020-02-05,2020-02-25,2020-02-25,2019-11-28,2019-11-28,60,13,A vencer,0.30696571,0.30427862,Sim,35191151986958000134550010001289731009642310,,,61,8,3545.36,0.2986109371510042,0.5447011082345266,241.39519013629513,0.5447011082345266,241.39519013629513,11,2019
FÊNIX FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS,26.631.527/0001-08,2020-02-13,ID GESTORA DE RECURSOS LTDA,21.046.086/0001-63,26631527,ARC COM+RCIO DE AUTO PE¦AS LTDA,51.986.958/0001-34,AGRICOLA MORENO DE LUIZ ANTONIO LTDA,15.417.965/0001-51,0000000000210000000048779,126747001,Duplicata,1096.98,1096.98,1062.52,329.09,E,2020-02-05,2019-10-26,2019-10-26,2019-09-12,2019-09-12,32,-102,Vencido,0.29405106,0.28576047,Sim,35190951986958000134550010001267471002935645,925500001069,,33,-74,-81176.52,0.27600444709204996,0.0,0.0,-0.7031727748602372,-771.366470566183,9,2019
FÊNIX FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS,26.631.527/0001-08,2020-02-13,ID GESTORA DE RECURSOS LTDA,21.046.086/0001-63,26631527,ARC COM+RCIO DE AUTO PE¦AS LTDA,51.986.958/0001-34,AGRICOLA MORENO DE NIPOA LTDA,15.418.409/0001-08,0000000000210000000049097,126820001,Duplicata,1727.22,1727.22,1672.31,518.17,E,2020-02-05,2019-10-30,2019-10-30,2019-09-16,2019-09-16,32,-98,Vencido,0.29171426,0.2897131,Sim,35190951986958000134550010001268201004594324,925900000487,,33,-72,-124359.84,0.27980804665909687,0.0,0.0,-0.7130289338478553,-1231.5578351206925,9,2019
FÊNIX FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS,26.631.527/0001-08,2020-02-13,ID GESTORA DE RECURSOS LTDA,21.046.086/0001-63,26631527,ARC COM+RCIO DE AUTO PE¦AS LTDA,51.986.958/0001-34,AGROPEU AGRO INDUSTRIAL DE POMPEU S.A.,16.617.789/0001-64,0000000000210000000056904,129726001,Duplicata,667.49,666.79,655.21,0.0,AA,2020-02-05,2020-02-06,2020-02-06,2020-01-10,2020-01-13,18,1,A vencer,0.30037295,0.29687898,Sim,35200151986958000134550010001297261007937146,001300000176,,20,-4,-2667.16,0.26359967884141633,-0.06396562044675957,-42.651636057694816,-0.06396562044675957,-42.651636057694816,1,2020
FÊNIX FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS,26.631.527/0001-08,2020-02-13,ID GESTORA DE RECURSOS LTDA,21.046.086/0001-63,26631527,ARC COM+RCIO DE AUTO PE¦AS LTDA,51.986.958/0001-34,AGS AUTO MECANICA LTDA,72.977.846/0001-97,0000000000210000000057126,129950001,Duplicata,230.0,227.95,225.07,0.0,AA,2020-02-05,2020-02-17,2020-02-17,2020-01-21,2020-01-21,19,8,A vencer,0.32611438,0.33293601,Sim,35200151986958000134550010001299501004881324,002100000240,,20,3,683.8499999999999,0.31391973577009047,1.121348964111328,255.6114963691772,1.121348964111328,255.6114963691772,1,2020
FÊNIX FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS,26.631.527/0001-08,2020-02-13,ID GESTORA DE RECURSOS LTDA,21.046.086/0001-63,26631527,ARC COM+RCIO DE AUTO PE¦AS LTDA,51.986.958/0001-34,ALVES FOGACAO & CIA LTDA,58.637.448/0001-09,0000000000210000000056860,129713001,Duplicata,396.8,395.52,388.17,0.0,AA,2020-02-05,2020-02-08,2020-02-08,2020-01-10,2020-01-10,21,3,A vencer,0.31042606,0.30195613,Sim,35200151986958000134550010001297131004642198,,,22,-2,-791.04,0.2864337509465247,-0.3344280902479494,-132.27299825486895,-0.3344280902479494,-132.27299825486895,1,2020
FÊNIX FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS,26.631.527/0001-08,2020-02-13,ID GESTORA DE RECURSOS LTDA,21.046.086/0001-63,26631527,ARC COM+RCIO DE AUTO PE¦AS LTDA,51.986.958/0001-34,ALVES FOGACAO & CIA LTDA,58.637.448/0001-09,0000000000210000000056861,129713002,Duplicata,396.8,387.96,380.07,0.0,AA,2020-02-05,2020-03-09,2020-03-09,2020-01-10,2020-01-10,39,21,A vencer,0.31042606,0.32093951,Sim,35200151986958000134550010001297131004642198,,,40,16,6207.36,0.3117795539630732,0.42596618523878793,165.25784122524016,0.42596618523878793,165.25784122524016,1,2020
