NOME_FUNDO,DOC_FUNDO,DATA_FUNDO,NOME_ORIGINADOR,DOC_ORIGINADOR,COD_ORIGINADOR,NOME_CEDENTE,DOC_CEDENTE,NOME_SACADO,DOC_SACADO,SEU_NUMERO,NU_DOCUMENTO,TIPO_RECEBIVEL,VALOR_NOMINAL,VALOR_PRESENTE,VALOR_AQUISICAO,VALOR_PDD,FAIXA_PDD,DATA_REFERENCIA,DATA_VENCIMENTO_ORIGINAL,DATA_VENCIMENTO_AJUSTADA,DATA_EMISSAO,DATA_AQUISICAO,PRAZO,PRAZO_ATUAL,SITUACAO_RECEBIVEL,TAXA_CESSAO,TX_RECEBIVEL,COOBRIGACAO,CHAVE_NF,NOSSO_NUMERO,Unnamed: 31,Dias_Emissao,Dias_Hoje,sumDias_Hoje,Yield_ini,Yield_hje,sumYield_ini,Yield_hje_PDD,sumYield_PDD,Emissao_Month,Emissao_Year
FÊNIX FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS,26.631.527/0001-08,2020-02-27,ID GESTORA DE RECURSOS LTDA,21.046.086/0001-63,26631527,ARC COM+RCIO DE AUTO PE¦AS LTDA,51.986.958/0001-34,AB COMERCIO E IMPLEMENTOS RODOVIARIOS LT,30.270.357/0001-50,0000000000210000000055528,129144002,Duplicata,271.95,271.66,260.84,0.0,AA,2020-01-31,2020-02-01,2020-02-01,2019-12-04,2019-12-05,40,1,A vencer,0.31347194,0.30053993,Sim,35191251986958000134550010001291441002341369,933900001575,,42,-15,-4074.9000000000005,0.28436726983424276,-0.017764926383632695,-4.826019901377658,-0.017764926383632695,-4.826019901377658,12,2019
FÊNIX FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS,26.631.527/0001-08,2020-02-27,ID GESTORA DE RECURSOS LTDA,21.046.086/0001-63,26631527,ARC COM+RCIO DE AUTO PE¦AS LTDA,51.986.958/0001-34,AGROPEU AGRO INDUSTRIAL DE POMPEU S.A.,16.617.789/0001-64,0000000000210000000056904,129726001,Duplicata,667.49,664.71,655.21,0.0,AA,2020-01-31,2020-02-06,2020-02-06,2020-01-10,2020-01-13,18,4,A vencer,0.30037295,0.29687898,Sim,35200151986958000134550010001297261007937146,001300000176,,20,-12,-7976.52,0.26359967884141633,-0.08391362696139792,-55.77822697751082,-0.08391362696139792,-55.77822697751082,1,2020
FÊNIX FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS,26.631.527/0001-08,2020-02-27,ID GESTORA DE RECURSOS LTDA,21.046.086/0001-63,26631527,ARC COM+RCIO DE AUTO PE¦AS LTDA,51.986.958/0001-34,AGS AUTO MECANICA LTDA,72.977.846/0001-97,0000000000210000000057126,129950001,Duplicata,230.0,227.18,225.07,0.0,AA,2020-01-31,2020-02-17,2020-02-17,2020-01-21,2020-01-21,19,11,A vencer,0.32611438,0.33293601,Sim,35200151986958000134550010001299501004881324,002100000240,,20,-5,-1135.9,0.31391973577009047,-0.4630054683348178,-105.18558229630392,-0.4630054683348178,-105.18558229630392,1,2020
FÊNIX FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS,26.631.527/0001-08,2020-02-27,ID GESTORA DE RECURSOS LTDA,21.046.086/0001-63,26631527,ARC COM+RCIO DE AUTO PE¦AS LTDA,51.986.958/0001-34,ALVES FOGACAO & CIA LTDA,58.637.448/0001-09,0000000000210000000056860,129713001,Duplicata,396.8,394.25,388.17,0.0,AA,2020-01-31,2020-02-08,2020-02-08,2020-01-10,2020-01-10,21,6,A vencer,0.31042606,0.30195613,Sim,35200151986958000134550010001297131004642198,,,22,-10,-3942.5,0.2864337509465247,-0.1499568525691577,-59.12048912539042,-0.1499568525691577,-59.12048912539042,1,2020
FÊNIX FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS,26.631.527/0001-08,2020-02-27,ID GESTORA DE RECURSOS LTDA,21.046.086/0001-63,26631527,ARC COM+RCIO DE AUTO PE¦AS LTDA,51.986.958/0001-34,AMBITRANS TRANSPORTES LTDA,69.234.003/0001-96,0000000000210000000056613,129608001,Duplicata,314.0,313.05,307.44,0.0,AA,2020-01-31,2020-02-05,2020-02-05,2020-01-07,2020-01-07,21,3,A vencer,0.28910801,0.28834246,Sim,35200151986958000134550010001296081005991280,000700000721,,22,-13,-4069.65,0.2735907489415097,-0.05704490779211113,-17.85790838432039,-0.05704490779211113,-17.85790838432039,1,2020
FÊNIX FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS,26.631.527/0001-08,2020-02-27,ID GESTORA DE RECURSOS LTDA,21.046.086/0001-63,26631527,ARC COM+RCIO DE AUTO PE¦AS LTDA,51.986.958/0001-34,ANTONIO MIGUEL FERRARI MECANICA EPP,66.103.219/0001-24,0000000000210000000056747,129625001,Duplicata,518.0,516.39,507.23,0.0,AA,2020-01-31,2020-02-05,2020-02-05,2020-01-08,2020-01-08,20,3,A vencer,0.29942792,0.30308526,Sim,35200151986958000134550010001296251003902957,000800000397,,21,-13,-6713.07,0.28676113287706384,-0.05855872402111573,-30.23913949726395,-0.05855872402111573,-30.23913949726395,1,2020
FÊNIX FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS,26.631.527/0001-08,2020-02-27,ID GESTORA DE RECURSOS LTDA,21.046.086/0001-63,26631527,ARC COM+RCIO DE AUTO PE¦AS LTDA,51.986.958/0001-34,APOLOTECH TECNOLOGIA PARA PNEUS LTDA,56.506.124/0001-06,0000000000210000000054433,128770003,Duplicata,1094.66,1081.0,1029.14,0.0,AA,2020-01-31,2020-02-18,2020-02-18,2019-11-21,2019-11-22,60,12,A vencer,0.30176693,0.29592575,Sim,35191151986958000134550010001287701004966328,932600000147,,62,-4,-4324.0,0.2851342640538925,-0.5466579082571573,-590.937198825987,-0.5466579082571573,-590.937198825987,11,2019
FÊNIX FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS,26.631.527/0001-08,2020-02-27,FENIX CONSULTORIA DE CREDITO EIRELI,26.154.553/0001-92,26631527,ARC COM+RCIO DE AUTO PE¦AS LTDA,51.986.958/0001-34,ARC COM DE AUTOS PECAS LTDA,51.986.958/0001-34,CONF_ARC01,CONF_ARC01,Duplicata de Servico Fisico,830461.03,830084.26,830461.03,83008.43,D,2020-01-31,2020-02-04,2020-02-04,2019-08-29,2019-08-30,109,2,A vencer,0.05884322,0.0,Nao,,,,111,-14,-11621179.64,0.0,-0.008134963270254758,-6752.704966316601,-0.8511263933960115,-706506.6224285971,8,2019
FÊNIX FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS,26.631.527/0001-08,2020-02-27,ID GESTORA DE RECURSOS LTDA,21.046.086/0001-63,26631527,ARC COM+RCIO DE AUTO PE¦AS LTDA,51.986.958/0001-34,BALDESSAR IMPLEMENTOS RODOVIAR,69.665.560/0001-61,0000000000210000000055354,129118002,Duplicata,738.23,737.45,707.85,73.74,D,2020-01-31,2020-02-01,2020-02-01,2019-12-04,2019-12-04,41,1,A vencer,0.30544182,0.29471303,Sim,35191251986958000134550010001291181001191282,,,42,-15,-11061.75,0.2867753162649538,-0.017603171202610346,-12.981458603365,-0.8326537150552558,-614.0404821674985,12,2019
FÊNIX FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS,26.631.527/0001-08,2020-02-27,ID GESTORA DE RECURSOS LTDA,21.046.086/0001-63,26631527,ARC COM+RCIO DE AUTO PE¦AS LTDA,51.986.958/0001-34,BALDESSAR IMPLEMENTOS RODOVIAR,69.665.560/0001-61,0000000000210000000055909,129356003,Duplicata,226.45,224.97,217.17,22.5,D,2020-01-31,2020-02-09,2020-02-09,2019-12-12,2019-12-13,39,6,A vencer,0.31593678,0.31045547,Sim,35191251986958000134550010001293561007905149,934700000406,,41,-10,-2249.7,0.2932853300968379,-0.15230906454052306,-34.264970249681475,-0.9404356210961998,-211.56980167801208,12,2019
FÊNIX FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS,26.631.527/0001-08,2020-02-27,ID GESTORA DE RECURSOS LTDA,21.046.086/0001-63,26631527,ARC COM+RCIO DE AUTO PE¦AS LTDA,51.986.958/0001-34,BALDESSAR IMPLEMENTOS RODOVIAR,69.665.560/0001-61,0000000000210000000057181,129969001,Duplicata,516.9,509.85,506.08,50.98,D,2020-01-31,2020-02-19,2020-02-19,2020-01-21,2020-01-22,20,13,A vencer,0.30521516,0.30545139,Sim,35200151986958000134550010001299691000197447,002200000124,,22,-3,-1529.5500000000002,0.2741982526703237,-0.6844887250611595,-348.9865764724322,-0.9999547328466125,-509.8269205418454,1,2020
FÊNIX FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS,26.631.527/0001-08,2020-02-27,ID GESTORA DE RECURSOS LTDA,21.046.086/0001-63,26631527,ARC COM+RCIO DE AUTO PE¦AS LTDA,51.986.958/0001-34,BIOSEV BIOENERGIA S.A,49.213.747/0001-17,0000000000210000000054822,128879001,Duplicata,1374.8,1366.38,1305.16,40.99,C,2020-01-31,2020-02-10,2020-02-10,2019-11-26,2019-11-27,51,6,A vencer,0.29435952,0.29285808,Sim,35191151986958000134550010001288791005197663,,,53,-10,-13663.800000000001,0.28038739064187457,-0.14342435645816431,-195.97217217730656,-0.6024195828690782,-823.1340696406511,11,2019
FÊNIX FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS,26.631.527/0001-08,2020-02-27,ID GESTORA DE RECURSOS LTDA,21.046.086/0001-63,26631527,ARC COM+RCIO DE AUTO PE¦AS LTDA,51.986.958/0001-34,BIOSEV BIOENERGIA S.A,49.213.747/0001-17,0000000000210000000055917,129378001,Duplicata,243.78,242.19,233.63,7.27,C,2020-01-31,2020-02-10,2020-02-10,2019-12-13,2019-12-13,39,6,A vencer,0.31593678,0.31625838,Sim,35191251986958000134550010001293781003491282,934700000422,,40,-10,-2421.9,0.3072469026622431,-0.15202121080681674,-36.818017045302945,-0.606601798235862,-146.91288951474343,12,2019
FÊNIX FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS,26.631.527/0001-08,2020-02-27,ID GESTORA DE RECURSOS LTDA,21.046.086/0001-63,26631527,ARC COM+RCIO DE AUTO PE¦AS LTDA,51.986.958/0001-34,BIOSEV S.A,15.527.906/0035-85,0000000000210000000055916,129377001,Duplicata,210.05,208.68,201.3,6.26,C,2020-01-31,2020-02-10,2020-02-10,2019-12-13,2019-12-13,39,6,A vencer,0.31593678,0.31644341,Sim,35191251986958000134550010001293771001795643,934700000252,,40,-10,-2086.8,0.30742606604042577,-0.152020832756819,-31.72370737969299,-0.6064005225952779,-126.5436610551826,12,2019
FÊNIX FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS,26.631.527/0001-08,2020-02-27,ID GESTORA DE RECURSOS LTDA,21.046.086/0001-63,26631527,ARC COM+RCIO DE AUTO PE¦AS LTDA,51.986.958/0001-34,BIOSEV S.A.,15.527.906/0036-66,0000000000210000000055671,129241001,Duplicata,936.7,930.57,894.21,27.92,C,2020-01-31,2020-02-10,2020-02-10,2019-12-09,2019-12-09,43,6,A vencer,0.31734934,0.31266173,Sim,35191251986958000134550010001292411009638760,,,44,-10,-9305.7,0.3045704397056508,-0.1524937935243973,-141.9061494399984,-0.6066714874824378,-564.5502861065322,12,2019
FÊNIX FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS,26.631.527/0001-08,2020-02-27,ID GESTORA DE RECURSOS LTDA,21.046.086/0001-63,26631527,ARC COM+RCIO DE AUTO PE¦AS LTDA,51.986.958/0001-34,BR TRUCK COMERCIO DE PECAS LTDA - ME,21.904.363/0001-21,0000000000210000000053869,128628003,Duplicata,1519.94,1515.21,1435.54,0.0,AA,2020-01-31,2020-02-05,2020-02-05,2019-11-14,2019-11-14,56,3,A vencer,0.29904388,0.29315373,Sim,35191151986958000134550010001286281005291201,931800000722,,57,-13,-19697.73,0.2873344253895602,-0.05862932623159445,-88.83574139937423,-0.05862932623159445,-88.83574139937423,11,2019
FÊNIX FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS,26.631.527/0001-08,2020-02-27,ID GESTORA DE RECURSOS LTDA,21.046.086/0001-63,26631527,ARC COM+RCIO DE AUTO PE¦AS LTDA,51.986.958/0001-34,BREZINSKI TRANSPORTES LTDA EPP,04.531.837/0001-18,0000000000210000000056910,129698001,Duplicata,400.0,397.92,392.37,0.0,AA,2020-01-31,2020-02-07,2020-02-07,2020-01-09,2020-01-13,19,5,A vencer,0.30037295,0.29102801,Sim,35200151986958000134550010001296981005891282,001300000168,,22,-11,-4377.12,0.24683238143378583,-0.11258104629833021,-44.79824994303156,-0.11258104629833021,-44.79824994303156,1,2020
